BEN;CO;MXIL;NO;NO2;O3;PM2.5;SO2;TOL
1.02;0.67;2.51;93.0;43.0;5.0;28.0;16.0;8.43
1.2;0.81;4.67;112.0;52.0;2.0;28.0;11.0;15.44
0.83;0.56;1.94;101.0;44.0;9.0;29.0;8.0;10.59
1.2;0.77;6.53;169.0;53.0;4.0;32.0;18.0;21.47
0.95;0.75;3.41;104.0;45.0;12.0;26.0;9.0;15.59
0.51;0.44;1.19;57.0;37.0;19.0;25.0;8.0;6.01
0.76;0.46;1.31;90.0;44.0;15.0;27.0;13.0;7.66
0.85;0.49;2.65;94.0;49.0;13.0;27.0;19.0;9.4
1.4;0.75;6.22;170.0;67.0;9.0;30.0;25.0;19.67
0.39;0.3;0.95;29.0;49.0;28.0;10.0;13.0;5.25
0.2;0.26;0.88;37.0;42.0;32.0;10.0;8.0;4.37
0.12;0.17;0.29;22.0;31.0;44.0;9.0;6.0;1.83
0.12;0.2;0.32;12.0;40.0;67.0;6.0;5.0;1.54
0.13;0.22;0.29;9.0;39.0;57.0;8.0;6.0;1.23
0.14;0.28;0.26;8.0;39.0;44.0;10.0;9.0;1.77
0.1;0.24;0.28;17.0;43.0;41.0;7.0;6.0;1.61
0.14;0.24;0.56;32.0;41.0;50.0;7.0;27.0;1.36
0.22;0.36;0.47;112.0;57.0;21.0;12.0;33.0;3.03
0.27;0.37;0.54;72.0;55.0;16.0;16.0;23.0;3.17
0.37;0.55;1.98;143.0;60.0;15.0;22.0;49.0;4.77
0.48;0.73;2.09;107.0;57.0;12.0;24.0;68.0;4.71
0.34;0.56;0.33;82.0;47.0;12.0;17.0;44.0;2.45
0.6;0.57;1.39;83.0;48.0;15.0;16.0;30.0;4.63
0.91;0.53;2.69;58.0;38.0;14.0;19.0;29.0;6.36
0.98;0.58;3.2;67.0;41.0;10.0;22.0;4.0;7.46
0.77;0.47;2.54;59.0;36.0;24.0;18.0;4.0;5.99
0.65;0.44;2.06;50.0;38.0;23.0;7.0;12.0;5.73
0.64;0.41;1.42;30.0;35.0;22.0;12.0;5.0;4.08
0.86;0.51;2.08;36.0;35.0;10.0;12.0;5.0;6.78
0.84;0.57;2.31;73.0;29.0;24.0;12.0;8.0;8.16
0.49;0.26;1.0;23.0;32.0;43.0;12.0;4.0;3.34
0.75;0.42;2.24;55.0;38.0;26.0;19.0;10.0;7.05
0.21;0.2;0.35;10.0;20.0;55.0;7.0;5.0;1.55
0.3;0.24;0.83;18.0;30.0;47.0;6.0;3.0;2.8
0.32;0.27;0.76;16.0;28.0;45.0;8.0;3.0;2.14
0.24;0.17;0.34;7.0;15.0;64.0;7.0;3.0;1.14
0.74;0.48;2.64;76.0;55.0;19.0;7.0;5.0;7.54
0.32;0.2;0.68;23.0;31.0;40.0;7.0;4.0;2.68
0.41;0.26;0.63;24.0;39.0;30.0;10.0;5.0;2.6
0.63;0.3;1.57;44.0;47.0;14.0;16.0;5.0;6.02
0.38;0.26;0.91;21.0;43.0;40.0;10.0;4.0;6.08
0.45;0.23;1.06;16.0;31.0;47.0;12.0;6.0;2.44
0.54;0.32;1.1;23.0;30.0;47.0;11.0;5.0;3.96
0.65;0.46;1.61;62.0;52.0;43.0;7.0;6.0;6.57
1.21;0.51;2.68;68.0;50.0;36.0;10.0;6.0;13.78
2.24;0.67;3.91;64.0;50.0;39.0;15.0;9.0;12.2
1.18;0.52;3.08;63.0;52.0;42.0;18.0;10.0;6.36
1.25;0.51;2.65;72.0;55.0;44.0;22.0;12.0;5.74
1.68;0.49;1.87;37.0;49.0;40.0;20.0;12.0;4.82
0.92;0.35;0.67;22.0;32.0;61.0;19.0;4.0;2.77
0.85;0.5;1.05;45.0;45.0;42.0;25.0;43.0;4.3
0.54;0.4;1.1;25.0;30.0;31.0;20.0;10.0;2.64
0.37;0.28;0.69;11.0;27.0;22.0;24.0;6.0;2.37
0.79;0.35;0.95;24.0;38.0;9.0;21.0;6.0;3.04
0.32;0.23;0.42;14.0;31.0;41.0;10.0;4.0;1.65
0.55;0.28;0.86;23.0;31.0;25.0;17.0;11.0;2.18
0.6;0.27;0.26;9.0;24.0;27.0;20.0;11.0;1.1
0.8;0.27;0.92;26.0;34.0;29.0;12.0;7.0;3.99
0.3;0.22;0.26;12.0;23.0;49.0;11.0;12.0;0.91
0.57;0.31;0.76;15.0;31.0;37.0;10.0;8.0;2.37
0.15;0.15;0.18;5.0;14.0;58.0;13.0;3.0;0.87
0.58;0.27;1.15;28.0;33.0;27.0;11.0;5.0;2.81
0.54;0.28;0.87;26.0;30.0;16.0;21.0;10.0;3.29
0.7;0.68;1.86;44.0;41.0;11.0;24.0;12.0;4.81
1.16;0.59;2.56;71.0;56.0;15.0;25.0;22.0;6.75
0.74;0.33;1.01;21.0;27.0;35.0;26.0;11.0;3.56
0.16;0.16;0.13;4.0;13.0;52.0;14.0;3.0;0.58
0.34;0.17;0.32;12.0;22.0;49.0;13.0;4.0;1.18
0.21;0.16;0.18;12.0;23.0;34.0;16.0;6.0;1.15
0.3;0.18;0.38;20.0;25.0;31.0;22.0;11.0;2.33
0.55;0.4;1.04;24.0;33.0;27.0;21.0;16.0;2.67
0.39;0.17;0.31;6.0;22.0;46.0;23.0;6.0;1.13
0.1;0.15;0.12;3.0;13.0;50.0;19.0;7.0;0.74
0.27;0.25;0.21;3.0;16.0;39.0;26.0;12.0;0.77
0.49;0.23;0.6;9.0;25.0;33.0;23.0;9.0;2.18
0.29;0.17;0.28;9.0;28.0;39.0;10.0;5.0;1.71
0.21;0.15;0.23;10.0;22.0;45.0;10.0;4.0;1.21
0.22;0.15;0.23;13.0;22.0;53.0;11.0;4.0;1.08
0.36;0.17;0.37;21.0;29.0;38.0;13.0;4.0;1.49
0.62;0.28;0.66;13.0;38.0;18.0;14.0;9.0;2.36
0.5;0.19;0.48;7.0;22.0;48.0;11.0;3.0;1.8
0.32;0.18;0.38;9.0;26.0;48.0;8.0;5.0;1.91
0.63;0.32;1.19;29.0;41.0;29.0;13.0;10.0;5.16
0.74;0.4;1.38;45.0;44.0;20.0;12.0;9.0;5.7
0.94;0.37;1.82;48.0;40.0;24.0;15.0;7.0;6.3
0.36;0.21;0.55;23.0;30.0;38.0;13.0;4.0;2.88
0.04;0.12;0.15;4.0;9.0;67.0;9.0;2.0;0.45
0.08;0.12;0.12;2.0;4.0;71.0;9.0;2.0;0.19
0.96;0.29;0.72;21.0;33.0;28.0;16.0;18.0;2.45
0.66;0.32;0.43;13.0;24.0;39.0;20.0;16.0;1.61
0.28;0.11;0.2;5.0;14.0;53.0;12.0;2.0;0.47
0.33;0.14;0.31;19.0;23.0;40.0;17.0;3.0;1.3
0.34;0.26;0.35;14.0;27.0;35.0;18.0;4.0;1.81
0.65;0.34;0.51;17.0;31.0;38.0;19.0;10.0;2.44
0.74;0.64;0.31;8.0;31.0;42.0;34.0;24.0;1.4
0.31;0.39;0.25;5.0;18.0;55.0;27.0;6.0;1.03
0.25;0.1;0.21;3.0;13.0;63.0;17.0;2.0;0.72
0.28;0.39;0.25;4.0;16.0;53.0;30.0;5.0;0.77
0.26;0.4;0.2;3.0;17.0;51.0;32.0;11.0;0.57
0.28;0.21;0.45;2.0;16.0;53.0;31.0;4.0;0.51
0.25;0.11;0.2;3.0;11.0;57.0;18.0;2.0;0.3
0.26;0.11;0.24;7.0;12.0;41.0;13.0;2.0;1.02
0.25;0.1;0.22;5.0;9.0;56.0;16.0;2.0;0.4
0.25;0.1;0.2;3.0;8.0;65.0;19.0;2.0;0.29
0.34;0.1;0.21;4.0;13.0;69.0;15.0;2.0;0.51
0.29;0.11;0.25;8.0;20.0;56.0;23.0;6.0;0.67
0.43;0.3;0.49;17.0;32.0;44.0;28.0;6.0;2.22
0.38;0.43;0.42;10.0;30.0;45.0;23.0;15.0;2.36
0.28;0.36;0.21;3.0;16.0;58.0;18.0;7.0;0.76
0.33;0.56;0.42;14.0;32.0;26.0;21.0;5.0;2.48
0.38;0.12;0.2;5.0;21.0;52.0;13.0;3.0;0.63
0.32;0.11;0.2;6.0;16.0;53.0;8.0;2.0;0.38
0.27;0.13;0.21;8.0;18.0;44.0;9.0;3.0;0.5
0.29;0.14;0.27;14.0;21.0;42.0;9.0;2.0;0.81
0.29;0.21;0.25;8.0;20.0;51.0;9.0;9.0;0.86
0.29;0.13;0.23;3.0;10.0;64.0;5.0;14.0;0.6
0.33;0.15;0.3;8.0;14.5;50.5;5.5;9.5;0.95
0.37;0.16;0.36;13.0;19.0;37.0;6.0;5.0;1.3
0.37;0.16;0.36;13.0;19.0;37.0;9.0;5.0;1.3
0.25;0.19;0.2;6.0;13.0;42.0;8.0;3.0;0.78
0.55;0.27;0.28;13.0;20.0;37.0;17.0;3.0;1.68
0.85;0.34;0.35;19.0;37.0;31.0;16.0;3.0;2.57
0.3;0.32;0.26;7.0;29.0;28.0;11.0;3.0;1.19
0.15;0.37;0.21;4.0;24.0;33.0;13.0;2.0;0.65
0.22;0.35;0.25;13.0;30.0;28.0;15.0;2.0;1.34
0.16;0.28;0.23;8.0;29.0;27.0;20.0;2.0;1.32
0.29;0.35;0.38;12.0;33.0;29.0;16.0;4.0;1.96
0.72;0.37;0.27;18.0;38.0;38.0;11.0;6.0;2.54
0.23;0.31;0.26;8.0;35.0;34.0;14.0;4.0;1.62
0.18;0.33;0.28;7.0;29.0;38.0;12.0;4.0;0.92
0.26;0.41;0.23;6.0;26.0;39.0;13.0;7.0;0.68
0.29;0.39;0.47;19.0;32.0;30.0;12.0;6.0;1.55
0.63;0.35;0.41;15.0;33.0;38.0;16.0;7.0;1.45
0.99;0.29;0.66;9.0;30.0;37.0;16.0;5.0;1.43
0.75;0.19;0.27;10.0;27.0;52.0;9.0;6.0;0.94
0.62;0.22;0.61;13.0;28.0;48.0;11.0;6.0;1.67
0.48;0.19;0.26;6.0;23.0;42.0;10.0;7.0;0.72
0.36;0.55;0.37;11.0;38.0;33.0;13.0;15.0;1.18
0.36;0.28;0.37;3.0;25.0;46.0;19.0;9.0;1.18
0.24;0.18;0.47;4.0;15.0;49.0;19.0;5.0;1.64
0.33;0.55;0.38;6.0;31.0;32.0;19.0;15.0;1.92
0.87;0.43;1.26;22.0;55.0;29.0;19.0;9.0;3.92
0.75;0.29;0.84;23.0;44.0;24.0;18.0;17.0;2.96
0.74;0.38;0.38;9.0;28.0;31.0;23.0;15.0;1.34
0.54;0.2;0.21;2.0;15.0;61.0;19.0;15.0;0.6
0.4;0.4;0.27;8.0;27.0;47.0;14.0;15.0;1.0
0.27;0.54;0.36;5.0;27.0;47.0;20.0;13.0;1.94
0.3;0.42;0.33;7.0;24.0;36.0;18.0;7.0;1.4
0.77;0.57;1.5;11.0;30.0;33.0;30.0;8.0;3.6
0.37;0.15;0.24;4.0;20.0;68.0;15.0;2.0;0.76
0.41;0.15;0.22;4.0;22.0;42.0;12.0;3.0;0.6
0.34;0.17;0.23;5.0;22.0;38.0;11.0;3.0;0.76
